iter	RMSE
0	4.614386428
1	4.522216413
2	4.437575706
3	4.353176057
4	4.281489977
5	4.207543294
6	4.124857083
7	4.050099314
8	3.975459348
9	3.920037573
10	3.844262648
11	3.769516335
12	3.706961458
13	3.646363919
14	3.578904612
15	3.524493548
16	3.463099767
17	3.403616959
18	3.335539134
19	3.276934518
20	3.210229029
21	3.154062449
22	3.106034477
23	3.066212906
24	3.036144807
25	2.983918693
26	2.954462578
27	2.901464073
28	2.850147228
29	2.806925437
30	2.751284097
31	2.711333001
32	2.664258236
33	2.620534994
34	2.575010888
35	2.528221373
36	2.489019739
37	2.442775518
38	2.401675356
39	2.360492954
40	2.327393754
41	2.298500647
42	2.265975888
43	2.220561484
44	2.180948539
45	2.149583276
46	2.116861943
47	2.089350821
48	2.060506658
49	2.029387373
50	1.99780528
51	1.971366912
52	1.94665414
53	1.91447324
54	1.880690145
55	1.859988344
56	1.82819138
57	1.799207909
58	1.771390328
59	1.744703804
60	1.720635809
61	1.692317351
62	1.665669192
63	1.642124655
64	1.622985808
65	1.601439231
66	1.58357301
67	1.557382367
68	1.541004374
69	1.520841048
70	1.502383666
71	1.483499815
72	1.468548908
73	1.456297688
74	1.440386888
75	1.422996219
76	1.405066114
77	1.386498457
78	1.373287499
79	1.356398547
80	1.342957989
81	1.330222775
82	1.316721658
83	1.298789197
84	1.284559273
85	1.272033635
86	1.259322911
87	1.248062014
88	1.236932462
89	1.224180724
90	1.220367606
91	1.210070761
92	1.203056269
93	1.19427397
94	1.177271068
95	1.166815073
96	1.162723208
97	1.153725652
98	1.140170116
99	1.132190861
100	1.126225232
101	1.116239779
102	1.113091812
103	1.100321172
104	1.09062838
105	1.08700337
106	1.083972454
107	1.076492364
108	1.068280455
109	1.061423845
110	1.057838458
111	1.050023323
112	1.044087976
113	1.03510892
114	1.024160056
115	1.015389445
116	1.007737147
117	0.9997739508
118	0.9965563488
119	0.9919344949
120	0.9889277872
121	0.9861398618
122	0.9791351694
123	0.9765951839
124	0.9737151426
125	0.9628237795
126	0.9603762772
127	0.9574143305
128	0.9482216046
129	0.9385512891
130	0.931691641
131	0.9253988653
132	0.9203598565
133	0.9129502791
134	0.9085256669
135	0.9042524944
136	0.9019767435
137	0.8997535095
138	0.8964563317
139	0.8930555731
140	0.8842478495
141	0.8793178904
142	0.8723620614
143	0.8663797799
144	0.8611420681
145	0.8591143672
146	0.8521859862
147	0.8477846893
148	0.8422508839
149	0.840334356
150	0.8326608103
151	0.8282435904
152	0.8263650043
153	0.8234572536
154	0.8214965714
155	0.819334782
156	0.81675548
157	0.8147920361
158	0.8113712333
159	0.8095719003
160	0.8079129716
161	0.8061577364
162	0.8044267259
163	0.8026039407
164	0.8010532328
165	0.7964825769
166	0.7931096617
167	0.790281111
168	0.7887765942
169	0.781765929
170	0.7793054953
171	0.775146286
172	0.7736596393
173	0.77213915
174	0.7703942069
175	0.7689984733
176	0.7673089446
177	0.7657882255
178	0.7587642103
179	0.7574235914
180	0.7560067769
181	0.7546128434
182	0.7533611084
183	0.7519247291
184	0.7507256456
185	0.7457577525
186	0.7444972266
187	0.7433107073
188	0.7393755742
189	0.7379417659
190	0.7339888095
191	0.7296489007
192	0.7260888375
193	0.7247174682
194	0.720289987
195	0.7175452195
196	0.7164614438
197	0.7153756044
198	0.7109609539
199	0.7084947682
200	0.7063122066
201	0.7037254114
202	0.7010010849
203	0.6986508986
204	0.697699189
205	0.6953708528
206	0.6914139902
207	0.6879815168
208	0.6871180439
209	0.6862382264
210	0.6827531117
211	0.6816889675
212	0.6770785654
213	0.6741104795
214	0.6685789188
215	0.6675917442
216	0.666274247
217	0.6645098486
218	0.6636180908
219	0.6610241339
220	0.6600665169
221	0.6549045531
222	0.6539763215
223	0.6526429842
224	0.6494705976
225	0.6456839638
226	0.644722249
227	0.6424322704
228	0.640494537
229	0.6396254924
230	0.6386413612
231	0.6371364512
232	0.6330525215
233	0.6319588549
234	0.627089579
235	0.6262069497
236	0.6228865324
237	0.618700042
238	0.6178730242
239	0.6164225365
240	0.6157390432
241	0.611408636
242	0.6085338961
243	0.604626262
244	0.6039396222
245	0.6032955538
246	0.6024974101
247	0.5986040452
248	0.5979214388
249	0.5964764338
250	0.5959368107
251	0.595200307
252	0.5945749877
253	0.5939097776
254	0.593216737
255	0.5925162301
256	0.5918029126
257	0.5912309512
258	0.5883955358
259	0.5845496288
260	0.5838155597
261	0.5832703377
262	0.5824766679
263	0.5797130799
264	0.5759985413
265	0.5749606296
266	0.5743660395
267	0.5737284468
268	0.5731814237
269	0.5698295798
270	0.5692782673
271	0.5687628729
272	0.5661838429
273	0.5656645684
274	0.5651356372
275	0.5646450142
276	0.5641192222
277	0.5636266163
278	0.5631695317
279	0.5626668736
280	0.5622143189
281	0.5589027376
282	0.5560766777
283	0.555640078
284	0.5552025338
285	0.5522262088
286	0.5518029471
287	0.5494146655
288	0.5489698822
289	0.548535783
290	0.5474974523
291	0.5445858532
292	0.5418984701
293	0.5415256727
294	0.5391481328
295	0.5370582075
296	0.5348082292
297	0.5324207685
298	0.5320385231
299	0.5316059977
300	0.5292449548
301	0.5272179776
302	0.5269021162
303	0.5249358022
304	0.5236788739
305	0.5214796332
306	0.5211633498
307	0.5199846713
308	0.5196676549
309	0.5193703819
310	0.5190867722
311	0.5183123998
312	0.5180259968
313	0.5177594753
314	0.5174833396
315	0.5171975649
316	0.5151433541
317	0.5131559166
318	0.5129053067
319	0.511182383
320	0.5109247427
321	0.5101178807
322	0.5082751725
323	0.5080446975
324	0.5064094882
325	0.5061476999
326	0.5059253387
327	0.5056684593
328	0.5054320425
329	0.5037854298
330	0.5022872204
331	0.5020676044
332	0.5018437393
333	0.5004463502
334	0.5002218028
335	0.5000247899
336	0.4980572465
337	0.4970432547
338	0.4968323836
339	0.4964824249
340	0.4959326343
341	0.4950250226
342	0.4948476833
343	0.4940307507
