iter	Passed	Remaining
0	149	149407
1	150	75008
2	150	50152
3	151	37715
4	152	30253
5	152	25276
6	153	21721
7	153	19054
8	154	16979
9	154	15323
10	155	13967
11	155	12835
12	156	11877
13	156	11055
14	157	10347
15	158	9725
16	158	9176
17	159	8688
18	159	8251
19	160	7862
20	161	7511
21	161	7194
22	162	6896
23	163	6629
24	163	6384
25	164	6153
26	164	5940
27	165	5742
28	165	5557
29	166	5376
30	166	5215
31	167	5064
32	167	4922
33	168	4788
34	169	4662
35	169	4543
36	170	4430
37	170	4324
38	171	4223
39	171	4127
40	172	4035
41	173	3950
42	173	3868
43	174	3789
44	175	3714
45	175	3636
46	175	3568
47	176	3500
48	177	3437
49	177	3376
50	178	3318
51	178	3262
52	179	3205
53	179	3153
54	180	3103
55	181	3051
56	181	3005
57	181	2955
58	182	2912
59	183	2869
60	183	2828
61	184	2788
62	184	2750
63	185	2714
64	186	2678
65	186	2643
66	187	2609
67	187	2576
68	188	2544
69	189	2512
70	189	2485
71	190	2453
72	191	2426
73	191	2398
74	192	2371
75	192	2344
76	193	2318
77	194	2294
78	194	2270
79	195	2247
80	195	2223
81	196	2200
82	197	2177
83	197	2155
84	198	2133
85	198	2113
86	199	2091
87	199	2071
88	200	2052
89	201	2034
90	201	2016
91	202	1998
92	203	1980
93	203	1963
94	204	1946
95	204	1930
96	205	1911
97	205	1893
98	206	1877
99	206	1861
100	207	1845
101	207	1830
102	208	1813
103	208	1798
104	209	1784
105	209	1770
106	210	1753
107	210	1739
108	211	1726
109	211	1711
110	212	1699
111	212	1687
112	213	1674
113	213	1662
114	214	1651
115	215	1641
116	215	1628
117	216	1618
118	216	1605
119	217	1594
120	217	1582
121	218	1570
122	218	1559
123	218	1547
124	219	1535
125	219	1525
126	220	1513
127	220	1503
128	221	1494
129	221	1484
130	222	1475
131	222	1465
132	223	1457
133	224	1448
134	224	1438
135	225	1429
136	225	1419
137	225	1409
138	225	1399
139	226	1391
140	227	1383
141	227	1375
142	228	1367
143	228	1360
144	229	1353
145	229	1345
146	230	1337
147	231	1330
148	231	1323
149	231	1314
150	232	1308
151	233	1301
152	233	1293
153	234	1286
154	234	1279
155	235	1273
156	235	1267
157	236	1259
158	236	1253
159	237	1247
160	237	1239
161	238	1232
162	238	1225
163	239	1219
164	239	1211
165	240	1206
166	240	1200
167	241	1194
168	241	1187
169	242	1181
170	242	1177
171	243	1172
172	243	1165
173	244	1160
174	245	1155
175	245	1149
176	246	1143
177	246	1138
178	247	1133
179	247	1127
180	247	1122
181	248	1116
182	248	1110
183	249	1105
184	249	1099
185	250	1094
186	250	1090
187	251	1084
188	251	1079
189	252	1075
190	252	1070
191	253	1065
192	253	1061
193	254	1056
194	254	1052
195	255	1048
196	255	1043
197	256	1038
198	257	1034
199	257	1031
200	258	1027
201	259	1023
202	259	1019
203	260	1015
204	260	1010
205	261	1006
206	261	1002
207	262	998
208	262	993
209	262	988
210	263	984
211	263	980
212	264	976
213	264	972
214	265	968
215	265	964
216	266	961
217	266	957
218	267	952
219	267	949
220	268	944
221	268	941
222	269	937
223	269	934
224	270	930
225	270	926
226	271	923
227	271	920
228	272	916
229	272	913
230	273	910
231	274	907
232	274	904
233	275	901
234	275	897
235	276	894
236	276	891
237	277	888
238	278	885
239	278	882
240	278	878
241	279	875
242	280	872
243	280	869
244	281	866
245	281	862
246	282	860
247	282	857
248	283	854
249	283	851
250	284	848
251	284	845
252	285	842
253	285	839
254	286	836
255	286	834
256	287	831
257	288	829
258	288	826
259	289	823
260	289	821
261	290	818
262	291	815
263	291	813
264	292	810
265	292	808
266	293	805
267	293	802
268	294	800
269	295	797
270	295	795
271	296	792
272	296	790
273	297	787
274	297	785
275	298	782
276	298	780
277	299	777
278	299	775
279	300	772
280	301	770
281	301	768
282	302	766
283	302	763
284	303	761
285	304	759
286	304	757
287	305	754
288	305	752
289	306	750
290	307	748
291	307	745
292	308	743
293	308	741
294	309	738
295	309	736
296	310	734
297	310	732
298	311	730
299	311	727
300	312	725
301	313	723
302	313	721
303	314	719
304	314	716
305	315	714
306	315	712
307	316	710
308	316	708
309	317	706
310	318	704
311	318	702
312	319	700
313	319	698
314	320	696
315	320	694
316	321	692
317	322	690
318	322	688
319	323	687
320	323	685
321	324	683
322	325	681
323	325	679
324	326	677
325	327	676
326	327	674
327	328	672
328	328	670
329	329	668
330	329	666
331	330	664
332	330	662
333	331	661
334	332	659
335	332	657
336	333	655
337	333	654
338	334	652
339	335	650
340	335	648
341	336	646
342	336	645
343	337	643
344	338	641
345	338	639
346	339	638
347	339	636
348	340	635
349	341	633
350	341	631
351	342	630
352	342	628
353	343	626
354	344	625
355	344	623
356	345	622
357	346	621
358	346	619
359	347	617
360	348	616
361	348	614
362	349	613
363	350	611
364	350	610
365	351	608
366	351	606
367	352	605
368	353	603
369	353	602
370	354	600
371	354	598
372	355	597
373	355	595
374	356	594
375	357	592
376	357	591
377	358	589
378	358	587
379	359	586
380	359	584
381	360	583
382	361	581
383	361	580
384	362	579
385	363	577
386	363	576
387	364	574
388	364	573
389	365	571
390	366	570
391	366	568
392	367	567
393	367	565
394	368	564
395	369	562
396	369	561
397	370	559
398	370	558
399	371	557
400	371	555
401	372	554
402	373	552
403	373	551
404	374	549
405	374	548
406	375	547
407	376	546
408	376	544
409	377	543
410	378	541
411	378	540
412	379	539
413	379	537
414	380	536
415	381	535
416	381	533
417	382	532
418	382	531
419	383	529
420	384	528
421	384	526
422	385	525
423	385	524
424	386	522
425	386	521
426	387	520
427	388	518
428	388	517
429	389	515
430	389	514
431	390	513
432	391	512
433	391	510
434	392	509
435	392	508
436	393	507
437	394	505
438	394	504
439	395	503
440	396	502
441	396	501
442	397	499
443	398	498
444	398	497
445	399	496
446	400	494
447	400	493
448	401	492
449	402	491
450	402	490
451	403	489
452	404	487
453	404	486
454	405	485
455	406	484
456	407	483
457	407	482
458	408	481
459	409	480
460	409	479
461	410	478
462	411	477
463	411	475
464	412	474
465	413	473
466	414	472
467	414	471
468	415	470
469	416	469
470	416	468
471	417	466
472	418	466
473	419	465
474	419	464
475	420	462
476	421	461
477	422	460
478	422	459
479	423	458
480	424	457
481	424	456
482	425	455
483	426	454
484	427	453
485	427	452
486	428	451
487	429	450
488	429	449
489	430	448
490	431	447
491	432	446
492	432	445
493	433	444
494	434	443
495	435	442
496	435	441
497	436	439
498	437	438
499	437	437
500	438	436
501	439	435
502	439	434
503	440	433
504	441	432
505	441	431
506	442	430
507	443	429
508	443	428
509	444	427
510	445	426
511	446	425
512	446	424
513	447	423
514	448	422
515	448	421
516	449	420
517	450	419
518	451	418
519	451	416
520	452	415
521	452	414
522	453	413
523	454	412
524	454	411
525	455	410
526	456	409
527	456	408
528	457	407
529	457	406
530	458	404
531	459	403
532	459	402
533	460	401
534	460	400
535	461	399
536	462	398
537	462	397
538	463	396
539	464	395
540	464	394
541	465	393
542	466	392
543	466	391
544	467	390
545	467	389
546	468	387
547	469	386
548	469	385
549	470	384
550	470	383
551	471	382
552	472	381
553	472	380
554	473	379
555	474	378
556	474	377
557	475	376
558	475	375
559	476	374
560	477	373
561	478	372
562	478	371
563	479	370
564	479	369
565	480	368
566	481	367
567	481	366
568	482	365
569	482	364
570	483	363
571	484	362
572	484	361
573	485	360
574	486	359
575	486	358
576	487	357
577	487	356
578	488	355
579	489	354
580	490	353
581	490	352
582	491	351
583	492	350
584	492	349
585	493	348
586	494	347
587	494	346
588	495	345
589	495	344
590	496	343
591	497	342
592	497	341
593	498	340
594	499	339
595	499	338
596	500	337
597	500	336
598	501	335
599	502	334
600	503	333
601	503	333
602	504	332
603	505	331
604	506	330
605	506	329
606	507	328
607	508	327
608	509	326
609	509	325
610	510	325
611	511	324
612	512	323
613	512	322
614	513	321
615	514	320
616	515	319
617	515	318
618	516	318
619	517	317
620	518	316
621	519	315
622	519	314
623	520	313
624	521	312
625	522	311
626	523	311
627	523	310
628	524	309
629	525	308
630	526	307
631	527	306
632	527	305
633	528	305
634	529	304
635	529	303
636	530	302
637	531	301
638	531	300
639	532	299
640	533	298
641	534	297
642	534	297
643	535	296
644	536	295
645	537	294
646	538	293
647	538	292
648	539	291
649	540	291
650	541	290
651	542	289
652	542	288
653	543	287
654	544	286
655	545	285
656	546	285
657	546	284
658	547	283
659	548	282
660	549	281
661	549	280
662	550	280
663	551	279
664	552	278
665	553	277
666	554	276
667	554	275
668	555	274
669	556	274
670	557	273
671	557	272
672	558	271
673	559	270
674	560	269
675	560	268
676	561	267
677	562	267
678	563	266
679	563	265
680	564	264
681	565	263
682	566	262
683	566	261
684	567	260
685	568	260
686	568	259
687	569	258
688	570	257
689	570	256
690	571	255
691	571	254
692	572	253
693	573	252
694	573	251
695	574	250
696	574	249
697	575	249
698	576	248
699	576	247
700	577	246
701	577	245
702	578	244
703	579	243
704	579	242
705	580	241
706	581	240
707	581	239
708	582	238
709	582	238
710	583	237
711	584	236
712	584	235
713	585	234
714	586	233
715	586	232
716	587	231
717	587	230
718	588	229
719	589	229
720	589	228
721	590	227
722	590	226
723	591	225
724	591	224
725	592	223
726	593	222
727	594	221
728	594	221
729	595	220
730	595	219
731	596	218
732	597	217
733	597	216
734	598	215
735	599	214
736	599	214
737	600	213
738	601	212
739	601	211
740	602	210
741	602	209
742	603	208
743	603	207
744	604	206
745	605	205
746	605	205
747	606	204
748	606	203
749	607	202
750	608	201
751	608	200
752	609	199
753	610	199
754	610	198
755	611	197
756	612	196
757	612	195
758	613	194
759	613	193
760	614	192
761	614	192
762	615	191
763	615	190
764	616	189
765	617	188
766	617	187
767	618	186
768	618	185
769	619	184
770	619	184
771	620	183
772	621	182
773	621	181
774	622	180
775	622	179
776	623	178
777	624	178
778	624	177
779	625	176
780	625	175
781	626	174
782	626	173
783	627	172
784	627	171
785	628	171
786	628	170
787	629	169
788	629	168
789	630	167
790	630	166
791	631	165
792	632	164
793	632	164
794	633	163
795	633	162
796	634	161
797	634	160
798	635	159
799	635	158
800	636	158
801	636	157
802	637	156
803	638	155
804	638	154
805	639	153
806	639	153
807	640	152
808	641	151
809	641	150
810	642	149
811	642	148
812	643	147
813	643	147
814	644	146
815	644	145
816	645	144
817	646	143
818	646	142
819	647	142
820	647	141
821	648	140
822	648	139
823	649	138
824	649	137
825	650	137
826	650	136
827	651	135
828	652	134
829	652	133
830	653	132
831	654	132
832	654	131
833	655	130
834	655	129
835	656	128
836	657	127
837	657	127
838	658	126
839	658	125
840	659	124
841	659	123
842	660	122
843	660	122
844	661	121
845	661	120
846	662	119
847	663	118
848	663	118
849	664	117
850	664	116
851	665	115
852	665	114
853	666	113
854	666	113
855	667	112
856	668	111
857	668	110
858	669	109
859	669	109
860	670	108
861	670	107
862	671	106
863	671	105
864	672	104
865	673	104
866	673	103
867	674	102
868	674	101
869	675	100
870	675	100
871	676	99
872	676	98
873	677	97
874	677	96
875	678	96
876	678	95
877	679	94
878	679	93
879	680	92
880	681	92
881	681	91
882	682	90
883	683	89
884	683	88
885	684	88
886	684	87
887	685	86
888	685	85
889	686	84
890	687	84
891	687	83
892	688	82
893	688	81
894	689	80
895	689	80
896	690	79
897	690	78
898	691	77
899	692	76
900	692	76
901	693	75
902	693	74
903	694	73
904	694	72
905	695	72
906	695	71
907	696	70
908	697	69
909	697	69
910	698	68
911	698	67
912	699	66
913	699	65
914	700	65
915	701	64
916	701	63
917	702	62
918	702	61
919	703	61
920	703	60
921	704	59
922	704	58
923	705	58
924	706	57
925	706	56
926	707	55
927	707	54
928	708	54
929	708	53
930	709	52
931	709	51
932	710	51
933	711	50
934	711	49
935	712	48
936	712	47
937	713	47
938	714	46
939	714	45
940	715	44
941	715	44
942	716	43
943	716	42
944	717	41
945	717	40
946	718	40
947	719	39
948	719	38
949	720	37
950	720	37
951	721	36
952	721	35
953	722	34
954	722	34
955	723	33
956	723	32
957	724	31
958	725	30
959	725	30
960	726	29
961	726	28
962	727	27
963	728	27
964	728	26
965	729	25
966	729	24
967	730	24
968	730	23
969	731	22
970	731	21
971	732	21
972	733	20
973	733	19
974	733	18
975	734	18
976	734	17
977	735	16
978	736	15
979	736	15
980	737	14
981	737	13
982	738	12
983	738	12
984	739	11
985	739	10
986	740	9
987	741	9
988	741	8
989	742	7
990	742	6
991	743	5
992	743	5
993	744	4
994	745	3
995	745	2
996	746	2
997	746	1
998	747	0
999	747	0
